time,median_virus_load,lower_bound,upper_bound,f1,f2
0,61599.1454419585,60067.056476754624,64430.318241345616,0.004528293017602316,0.9976129592412316
1,592563.6625162226,337575.3319658567,1314070.0126996895,0.0043373144229811806,0.9971894104195387
2,2422994.9928862182,1158153.7694646714,3797538.3991106865,0.0036732337390071833,0.9946621167535575
3,2576700.066598965,1026412.3506815134,3970133.2091438794,0.003240184099009103,0.9906129736242192
4,1594579.0637099955,345374.8032038664,2767594.3770393603,0.0031109565149930085,0.9875283959357775
5,857769.317501256,92986.47105389794,1867861.814697388,0.0030726076616900896,0.9856566993112368
6,438641.8551663839,21915.59577036259,1275409.9640278844,0.0030588565587385303,0.9845733000908274
7,214382.82205437706,5077.168977031722,877939.8190002239,0.0030530843222168376,0.9839477432279505
8,107729.43209342968,1191.4945939812444,580897.9274070165,0.0030503853889089134,0.9835835191523727
9,53803.12943487207,287.88301927134603,385047.6523927571,0.00304902721701566,0.9833691225568714
10,26374.05711531326,69.5199697267753,255613.71295480288,0.003048307475047352,0.9832414837297001
11,12719.384209015194,15.924895970157644,173564.91729675984,0.0030479113290808515,0.9831646491143933
12,6140.313209793892,3.619094918861542,119265.33347991848,0.003047686889809783,0.9831179016530206
13,2946.407746025555,0.8082429004920841,81044.02767803396,0.003047556777759471,0.9830891679087761
14,1427.2738460668959,0.18009206252075072,54000.46852370667,0.0030474799113952363,0.983071332822239
15,691.199457681177,0.03903934682868754,37202.684222055024,0.0030474337687116555,0.9830601580490343
16,333.57024199002467,0.008937568267716264,24942.97438425135,0.0030474056815466403,0.9830530927430916
17,160.9782859137378,0.0019400943405689442,17071.15667244616,0.003047388372475595,0.9830485864934811
18,77.68647400503758,0.00040936261818545414,11330.0123308035,0.003047377585930756,0.983045688032575
19,37.62192462451746,8.63764774657383e-05,7674.842765388974,0.003047370795016639,0.9830438083963718
20,18.514842184593974,2.0321788512258797e-05,5098.093296499585,0.0030473664789636705,0.9830425797448064
21,8.981585873453483,4.68556027688131e-06,3343.701007912023,0.003047363711433968,0.9830417704009313
22,4.379401593048423,9.92437772678483e-07,2230.3771044784153,0.0030473619219714403,0.9830412332543013
23,2.096876369817855,2.2590360849757078e-07,1513.0716116662434,0.0030473607557305947,0.9830408741520495
24,1.014511062450127,5.311733229112424e-08,1005.8707219695516,0.0030473599899147876,0.9830406323708272
25,0.4908408592035522,1.1953556249405787e-08,680.6990137758704,0.003047359483408255,0.983040468454279
26,0.23811043594053166,2.853468354350306e-09,467.49997711915023,0.003047359146090274,0.9830403565779713
